id,name,messiahLine,levitical,judge,initiallyVisible,hadCollapsedChildren,age,yearsLived,born,died,tribe,spouse,refs,tooltipRaw
815,Hananiah,false,false,false,false,false,,,,,,,,(1 Chronicles 3:19)
816,Meshullam,false,false,false,false,false,,,,,,,,(1 Chronicles 3:19)
817,Zerubbabel,true,false,false,false,false,,,,,,,,(1 Chronicles 3:19)
818,Zaza,false,false,false,false,false,,,,,,,,"Zaza

(1 Chronicles 2:33)"
819,Peleth,false,false,false,false,false,,,,,,,,"Peleth

(1 Chronicles 2:33)"
820,Jonathan,false,false,false,false,false,,,,,,,,(1 Chronicles 2:32)
821,Jether,false,false,false,false,false,,,,,,,,"Jether

(1 Chronicles 2:32)"
822,Jada,false,false,false,false,false,,,,,,,,"Jada

(1 Chronicles 2:28)"
823,Molid,false,false,false,false,false,,,,,,,,"Molid

(1 Chronicles 2:29)"
824,Ahban,false,false,false,false,false,,,,,,,,"Ahban

(1 Chronicles 2:29)"
825,Abishur,false,false,false,false,false,,,,,,Abihail (1 Chronicles 2:29) (1 Chronicles 2:28),,"Abishur

Spouse: Abihail (1 Chronicles 2:29)
 

(1 Chronicles 2:28)"
826,Elishama,false,false,false,false,false,,,,,,,Jeremiah 36:12,"(1 Chronicles 2:41)Is this possibly the Elishama the scribe mentioned in Jeremiah 36:12, 36:20-21?"
827,Jekamiah,false,false,false,false,false,,,,,,,,(1 Chronicles 2:41)
828,Shallum,false,false,false,false,false,,,,,,,,(1 Chronicles 2:40)
829,Sismai,false,false,false,false,false,,,,,,,,"Sismai

(1 Chronicles 2:40)"
830,Eleasah,false,false,false,false,false,,,,,,,,(1 Chronicles 2:39)
831,Helez,false,false,false,false,false,,,,,,,,"Helez

(1 Chronicles 2:39)"
832,Azariah,true,false,false,false,false,,,,,,,,(1 Chronicles 2:38)
833,Jehu,false,false,false,false,false,,,,,,,,"Jehu

(1 Chronicles 4:35)"
834,Obed,true,false,false,false,false,,,,,,,,(1 Chronicles 2:37)
835,Ephal,false,false,false,false,false,,,,,,,,"Ephal

(1 Chronicles 2:37)"
836,Zabad,false,false,false,false,false,,,,,,,,(1 Chronicles 2:36)
837,Nathan,true,false,false,false,false,,,,,,,,(1 Chronicles 2:36)
838,Attai,false,false,false,false,false,,,,,,,,"Attai

(1 Chronicles 2:35)"
